timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 9, 2025 @ 19:38:36.045","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\WDM\\DREDGE\\C:\\Windows\\System32\\drivers\\HDAudBus.sys[HDAudioMofName] by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:36.028","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\WDM\\DREDGE\\C:\\Windows\\System32\\drivers\\en-US\\processr.sys.mui[PROCESSORWMI] by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:36.013","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\WDM\\DREDGE\\C:\\Windows\\System32\\drivers\\processr.sys[PROCESSORWMI] by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:35.998","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\WDM\\DREDGE\\C:\\Windows\\System32\\drivers\\en-US\\ACPI.sys.mui[ACPIMOFResource] by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:35.982","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\WDM\\DREDGE\\C:\\Windows\\System32\\drivers\\ACPI.sys[ACPIMOFResource] by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:35.967","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\WDM\\DREDGE\\C:\\Windows\\system32\\en-US\\kernelbase.dll.mui[MofResourceName] by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:35.950","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\WDM\\DREDGE\\C:\\Windows\\system32\\kernelbase.dll[MofResourceName] by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:35.937","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\PROVIDERS\\Performance\\Performance Data by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:33.786","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Edge","5","61603"
"Jun 9, 2025 @ 19:38:27.653","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Host Process for Windows Tasks","5","61603"
"Jun 9, 2025 @ 19:38:27.637","DESKTOP-O7P9I53","Sysmon - Event 22: DNS Query event","5","61650"
"Jun 9, 2025 @ 19:38:27.622","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKU\\S-1-5-21-442569660-4060779802-1076883227-1001_Classes\\CLSID\\{2cc5ca98-6485-489a-920e-b3e88a6ccce3}\\shell\\SpotlightDislike\\command\\DelegateExecute by C:\\Windows\\Explorer.EXE","5","61615"
"Jun 9, 2025 @ 19:38:27.607","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKU\\S-1-5-21-442569660-4060779802-1076883227-1001_Classes\\CLSID\\{2cc5ca98-6485-489a-920e-b3e88a6ccce3}\\shell\\SpotlightLike\\command\\DelegateExecute by C:\\Windows\\Explorer.EXE","5","61615"
"Jun 9, 2025 @ 19:38:27.594","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKU\\S-1-5-21-442569660-4060779802-1076883227-1001_Classes\\CLSID\\{2cc5ca98-6485-489a-920e-b3e88a6ccce3}\\shell\\SpotlightNext\\command\\DelegateExecute by C:\\Windows\\Explorer.EXE","5","61615"
"Jun 9, 2025 @ 19:38:27.593","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKU\\S-1-5-21-442569660-4060779802-1076883227-1001_Classes\\CLSID\\{2cc5ca98-6485-489a-920e-b3e88a6ccce3}\\shell\\SpotlightClick\\command\\DelegateExecute by C:\\Windows\\Explorer.EXE","5","61615"
"Jun 9, 2025 @ 19:38:26.066","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation ","5","61603"
"Jun 9, 2025 @ 19:38:22.790","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\System\\CurrentControlSet\\Services\\WmiApRpl\\Performance\\Object List by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.759","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\System\\CurrentControlSet\\Services\\WmiApRpl\\Performance\\First Counter by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.759","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\System\\CurrentControlSet\\Services\\WmiApRpl\\Performance\\First Help by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.728","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\System\\CurrentControlSet\\Services\\WmiApRpl\\Performance\\Last Counter by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:22.728","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\System\\CurrentControlSet\\Services\\WmiApRpl\\Performance\\Last Help by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
